record.number,source,length
1,Lake,36.6
2,Lake,30.4
3,Lake,28.9
4,Lake,31.6
5,Lake,33.2
6,Lake,33.6
7,Lake,27.7
8,Lake,33.4
9,Lake,31.7
10,Lake,40
11,Lake,31.7
12,Lake,23.5
13,Lake,33.1
14,Lake,30.8
15,Lake,27.8
16,Lake,35.5
17,Lake,30.9
18,Lake,31.5
19,Lake,31.5
20,Lake,40.9
21,Lake,31.9
22,Lake,27.9
23,Lake,28
24,Lake,37.3
25,Lake,28.8
26,Lake,34.4
27,Lake,28.6
28,Lake,29
29,Lake,32.7
30,Lake,34.6
31,Lake,26.7
32,Lake,29.8
33,Lake,31.8
34,Lake,31
35,Lake,28.4
36,Lake,30.2
37,Lake,30.4
38,Lake,27.7
39,Lake,34.3
40,Lake,33.3
41,Lake,30.1
42,Lake,31.1
43,Lake,36.2
44,Lake,35.1
45,Lake,30.9
46,Lake,24.4
47,Lake,25.9
48,Lake,29.1
49,Lake,27.7
50,Lake,33.6
51,Lake,34.7
52,Lake,29.5
53,Lake,27.8
54,Lake,31.2
55,Lake,30.2
56,Lake,31.7
57,Lake,28.3
58,Lake,32.9
59,Lake,28.4
60,Lake,30.1
61,Lake,32.7
62,Lake,27.3
63,Lake,27.5
64,Lake,31.6
65,Lake,22.3
66,Lake,30.5
67,Lake,29.7
68,Lake,32.1
69,Lake,23.5
70,Lake,26
71,Lake,29.1
72,Lake,25.1
73,Lake,31.6
74,Lake,32.2
75,Lake,29.1
76,Lake,23.2
77,Lake,30.9
78,Lake,35.4
79,Lake,34.8
80,Lake,24.3
81,Lake,29.3
82,Lake,29.3
83,Lake,27.9
84,Lake,32.6
85,Lake,28.5
86,Lake,29.3
87,Lake,29.3
88,Lake,30.1
89,Lake,33.2
90,Lake,31.7
91,Lake,28.3
92,Lake,28.2
93,Lake,30.7
94,Lake,38.8
95,Lake,32.9
96,Lake,32.6
97,Lake,29.1
98,Lake,31.3
99,Lake,35.1
100,Lake,28.8
101,Stream,32.6
102,Stream,39.5
103,Stream,46.8
104,Stream,38.9
105,Stream,42.9
106,Stream,41
107,Stream,37
108,Stream,30.7
109,Stream,43.7
110,Stream,41.7
111,Stream,39
112,Stream,36.5
113,Stream,37.5
114,Stream,29.9
115,Stream,33.6
116,Stream,38
117,Stream,39
118,Stream,37
119,Stream,42.2
120,Stream,37.1
121,Stream,43.4
122,Stream,35.1
123,Stream,42.3
124,Stream,42.2
125,Stream,41.3
126,Stream,38.7
127,Stream,41.1
128,Stream,35.2
129,Stream,38.3
130,Stream,47.7
131,Stream,40.1
132,Stream,38.5
133,Stream,44.4
134,Stream,43.3
135,Stream,46.7
136,Stream,40.1
137,Stream,40.6
138,Stream,43.2
139,Stream,45
140,Stream,43.3
141,Stream,39.6
142,Stream,38.9
143,Stream,34.2
144,Stream,40.6
145,Stream,39.5
146,Stream,38.4
147,Stream,38.5
148,Stream,43.7
149,Stream,48.5
150,Stream,45.6
151,Stream,42
152,Stream,35.1
153,Stream,39.9
154,Stream,41.3
155,Stream,37.9
156,Stream,33.9
157,Stream,36.3
158,Stream,34.5
159,Stream,31
160,Stream,48.4
161,Stream,36.3
162,Stream,43.5
163,Stream,31.6
164,Stream,42.8
165,Stream,41
166,Stream,46.1
167,Stream,42.5
168,Stream,35.2
169,Stream,43.3
170,Stream,44.8
171,Stream,39.9
172,Stream,39.8
173,Stream,38.7
174,Stream,47
175,Stream,34.2
176,Stream,46
177,Stream,27.8
178,Stream,45.2
179,Stream,36.9
180,Stream,39.5
181,Stream,41.5
182,Stream,40.7
183,Stream,40.7
184,Stream,41.3
185,Stream,36.2
186,Stream,36.8
187,Stream,45.3
188,Stream,39.5
189,Stream,35.4
190,Stream,41.4
191,Stream,37.5
192,Stream,41.6
193,Stream,47
194,Stream,39
195,Stream,44.3
196,Stream,43.8
197,Stream,45.8
198,Stream,48.1
199,Stream,41.2
200,Stream,30.6
