record.number,species,sepal.width
1,setosa,3.5
2,setosa,3
3,setosa,3.2
4,setosa,3.1
5,setosa,3.6
6,setosa,3.9
7,setosa,3.4
8,setosa,3.4
9,setosa,2.9
10,setosa,3.1
11,setosa,3.7
12,setosa,3.4
13,setosa,3
14,setosa,3
15,setosa,4
16,setosa,4.4
17,setosa,3.9
18,setosa,3.5
19,setosa,3.8
20,setosa,3.8
21,setosa,3.4
22,setosa,3.7
23,setosa,3.6
24,setosa,3.3
25,setosa,3.4
26,setosa,3
27,setosa,3.4
28,setosa,3.5
29,setosa,3.4
30,setosa,3.2
31,setosa,3.1
32,setosa,3.4
33,setosa,4.1
34,setosa,4.2
35,setosa,3.1
36,setosa,3.2
37,setosa,3.5
38,setosa,3.6
39,setosa,3
40,setosa,3.4
41,setosa,3.5
42,setosa,2.3
43,setosa,3.2
44,setosa,3.5
45,setosa,3.8
46,setosa,3
47,setosa,3.8
48,setosa,3.2
49,setosa,3.7
50,setosa,3.3
51,virginica,3.3
52,virginica,2.7
53,virginica,3
54,virginica,2.9
55,virginica,3
56,virginica,3
57,virginica,2.5
58,virginica,2.9
59,virginica,2.5
60,virginica,3.6
61,virginica,3.2
62,virginica,2.7
63,virginica,3
64,virginica,2.5
65,virginica,2.8
66,virginica,3.2
67,virginica,3
68,virginica,3.8
69,virginica,2.6
70,virginica,2.2
71,virginica,3.2
72,virginica,2.8
73,virginica,2.8
74,virginica,2.7
75,virginica,3.3
76,virginica,3.2
77,virginica,2.8
78,virginica,3
79,virginica,2.8
80,virginica,3
81,virginica,2.8
82,virginica,3.8
83,virginica,2.8
84,virginica,2.8
85,virginica,2.6
86,virginica,3
87,virginica,3.4
88,virginica,3.1
89,virginica,3
90,virginica,3.1
91,virginica,3.1
92,virginica,3.1
93,virginica,2.7
94,virginica,3.2
95,virginica,3.3
96,virginica,3
97,virginica,2.5
98,virginica,3
99,virginica,3.4
100,virginica,3
